URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CONTENT_LENGTH,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,APP_PACKETS,DNS_QUERY_TIMES,Type
16,7,263,7,0,2,700,9,10,9,2,1
16,6,15087,17,7,4,1230,17,19,17,0,0
16,6,324,0,0,0,0,0,0,0,0,0
17,6,162,31,22,3,3812,39,37,39,8,0
17,6,124140,57,2,5,4278,61,62,61,4,0
18,7,NA,11,6,9,894,11,13,11,0,0
18,6,345,12,0,3,1189,14,13,14,2,0
19,6,324,0,0,0,0,0,0,0,0,0
20,5,NA,0,0,0,0,2,3,2,2,1
20,5,NA,0,0,0,0,2,1,2,2,1
20,6,NA,0,0,0,0,0,0,0,0,0
20,6,324,0,0,0,0,0,0,0,0,0
20,7,13716,16,6,8,1492,20,20,20,4,0
20,6,3692,25,19,4,3946,35,29,35,10,0
20,7,13054,0,0,0,0,0,0,0,0,0
21,7,957,7,0,1,717,11,10,11,4,1
21,7,686,6,0,2,603,8,9,8,2,1
21,6,324,7,7,3,618,7,9,7,0,0
21,6,15025,13,1,5,1099,15,17,15,2,0
22,7,324,9,0,4,850,11,9,11,2,1
22,6,NA,39,29,6,3833,43,42,43,4,0
22,6,318,8,6,6,696,8,10,8,0,0
22,6,224,4,3,2,420,4,6,4,0,0
22,7,4421,12,0,2,2259,16,12,16,4,0
22,6,NA,6,0,3,650,10,10,10,4,0
22,6,441,0,0,0,0,0,0,0,0,0
22,6,NA,0,0,0,0,0,0,0,0,0
22,6,6671,0,0,0,0,0,0,0,0,0
23,6,NA,16,3,11,1696,18,20,18,2,0
23,6,434,0,0,0,0,0,0,0,0,0
23,6,324,0,0,0,0,0,0,0,0,0
23,6,13001,0,0,0,0,0,0,0,0,0
23,7,3257,0,0,0,0,0,0,0,0,0
23,6,6748,7,4,5,630,7,4,7,0,0
23,7,NA,24,5,8,1740,24,11,24,0,0
23,6,NA,19,7,6,2404,23,20,23,4,0
23,6,NA,19,14,6,1980,23,25,23,4,0
23,6,NA,4,0,1,519,8,8,8,4,0
23,6,NA,10,0,5,1186,14,15,14,4,0
23,6,NA,43,4,4,5738,47,50,47,4,0
23,6,240,8,0,2,723,10,11,10,2,0
23,6,3985,40,17,16,3285,46,45,46,6,0
23,6,324,0,0,0,0,0,0,0,0,0
24,8,6173,2,0,1,132,2,5,2,0,1
24,9,319,7,0,2,720,9,10,9,2,1
24,6,NA,84,54,5,10490,96,106,96,12,0
24,6,34,65,3,5,6286,69,75,69,4,0
24,7,NA,14,6,6,1907,18,18,18,4,0
24,6,1778,7,7,3,618,7,9,7,0,0
24,6,NA,6,3,2,528,6,4,6,0,0
24,6,324,6,4,4,564,6,8,6,0,0
24,8,224,19,2,4,2131,23,23,23,4,0
24,6,NA,12,2,7,984,16,16,16,4,0
24,7,318,21,1,8,1606,25,13,25,4,0
24,7,NA,16,6,8,2279,22,22,22,6,0
24,6,345,19,5,9,1390,21,25,21,2,0
24,6,756,23,3,15,2485,27,28,27,4,0
25,6,NA,0,0,0,0,0,0,0,0,0
25,7,NA,0,0,0,0,0,0,0,0,0
25,6,14839,0,0,0,0,0,0,0,0,0
25,6,324,5,2,4,474,5,4,5,0,0
25,6,NA,6,5,2,564,6,7,6,0,0
25,6,NA,12,0,5,1327,16,17,16,4,0
25,6,658,11,3,4,1232,15,16,15,4,0
25,6,NA,18,7,9,1586,22,17,22,4,0
25,6,NA,36,17,9,4737,42,35,42,6,0
25,6,195,0,0,0,0,0,0,0,0,0
25,6,324,0,0,0,0,0,0,0,0,0
25,6,NA,0,0,0,0,0,0,0,0,0
26,8,NA,12,0,2,1052,14,14,14,2,1
26,8,NA,9,1,2,878,11,12,11,2,1
26,7,4166,24,0,3,2508,30,30,30,6,1
26,7,962,9,0,4,842,11,12,11,2,1
26,7,962,7,0,2,722,11,10,11,4,1
26,7,962,7,0,2,722,11,9,11,4,1
26,6,2688,0,0,0,0,0,0,0,0,0
26,7,NA,0,0,0,0,0,0,0,0,0
26,6,NA,0,0,0,0,0,0,0,0,0
26,6,199,0,0,0,0,0,0,0,0,0
26,6,3548,13,0,1,1378,19,19,19,6,0
26,7,NA,26,19,5,2727,30,19,30,4,0
26,6,0,43,39,3,6325,53,50,53,10,0
26,6,5426,9,7,4,702,9,10,9,0,0
26,7,NA,11,9,7,882,11,9,11,0,0
26,6,NA,4,3,2,396,4,6,4,0,0
26,6,345,43,0,2,3252,47,47,47,4,0
26,7,NA,46,12,11,3783,50,18,50,4,0
26,7,NA,21,8,9,2373,25,27,25,4,0
26,6,NA,7,0,2,984,11,12,11,4,0
26,6,NA,0,0,0,0,0,0,0,0,0
26,6,324,0,0,0,0,0,0,0,0,0
26,6,NA,0,0,0,0,0,0,0,0,0
26,6,NA,0,0,0,0,0,0,0,0,0
26,6,NA,0,0,0,0,0,0,0,0,0
27,7,8756,38,0,3,4207,44,45,44,6,1
27,7,193,9,0,1,1838,11,13,11,2,1
27,8,NA,0,0,0,0,0,0,0,0,0
27,6,324,0,0,0,0,0,0,0,0,0
27,6,NA,3,3,1,366,3,5,3,0,0
27,6,NA,40,13,14,3781,46,44,46,6,0
27,6,7967,6,0,4,631,8,11,8,2,0
27,7,11506,0,0,0,0,0,0,0,0,0
28,9,NA,5,0,1,592,7,9,7,2,1
28,7,324,5,0,2,556,9,9,9,4,1
28,8,39036,0,0,0,0,0,0,0,0,0
28,6,NA,0,0,0,0,0,0,0,0,0
28,7,NA,0,0,0,0,0,0,0,0,0
28,7,NA,0,0,0,0,0,0,0,0,0
28,7,NA,6,4,3,552,6,8,6,0,0
28,7,NA,8,4,6,696,8,10,8,0,0
