default_profile,default_profile_image,favorites_count,followers_count,friends_count,geo_enabled,id,lang,location,statuses_count,verified,average_tweets_per_day,account_age_days,account_type
FALSE,FALSE,4,1589,4,FALSE,7.87E+17,en,unknown,11041,FALSE,7.87,1403,bot
FALSE,FALSE,536,860,880,FALSE,7.96E+17,en,Estados Unidos,252,FALSE,0.183,1379,human
FALSE,FALSE,3307,172,594,TRUE,8.76E+17,en,"Los Angeles, CA",1001,FALSE,0.864,1159,human
TRUE,FALSE,8433,517,633,TRUE,7.56E+17,en,"Birmingham, AL",1324,FALSE,0.889,1489,human
FALSE,FALSE,88,753678,116,TRUE,464781334,en,"England, United Kingdom",4202,TRUE,1.339,3138,human
TRUE,FALSE,237,27394,542,FALSE,8.01E+17,ar,مكة المكرمة,11513,FALSE,8.428,1366,bot
FALSE,FALSE,5522,291529,1581,TRUE,55050269,en,Los Angeles,14535,TRUE,3.581,4059,human
FALSE,FALSE,756,6909959,40,FALSE,809500704,en,unknown,1223,TRUE,0.421,2902,human
TRUE,FALSE,64,24,0,FALSE,1015021614,,unknown,277,FALSE,0.099,2802,human
FALSE,FALSE,36384,2130,3363,TRUE,492306486,en,United Kingdom,63376,FALSE,20.391,3108,human
FALSE,FALSE,127,32,0,FALSE,432537664,en,in the clouds.,921,FALSE,0.29,3175,human
FALSE,FALSE,0,26675,26,FALSE,2579497028,en,unknown,24087,FALSE,10.701,2251,bot
FALSE,FALSE,16614,262121,643,TRUE,19660870,en,"London, New York, Paris, Milan",36392,TRUE,8.624,4220,human
FALSE,FALSE,49058,1950090,1574,FALSE,313087874,so,he/him,81833,TRUE,24.355,3360,human
FALSE,FALSE,4071,252142,562,TRUE,211550281,it,Italy,6029,TRUE,1.686,3576,human
FALSE,FALSE,81967,5281,581,TRUE,769392715,it,Oblio,106263,FALSE,36.391,2920,human
TRUE,FALSE,139,0,0,FALSE,7.72E+17,en,unknown,272,FALSE,0.188,1445,human
TRUE,FALSE,41,0,0,FALSE,7.73E+17,en,unknown,105,FALSE,0.073,1444,human
FALSE,FALSE,12686,2365,296,TRUE,476691783,en,unknown,18309,FALSE,5.859,3125,human
TRUE,FALSE,510,6,33,FALSE,384565337,,unknown,639,FALSE,0.197,3242,bot
FALSE,FALSE,534,37278,455,TRUE,305922144,en,└A,9074,TRUE,2.691,3372,human
TRUE,FALSE,187,4,0,FALSE,1183842404,en,unknown,23,FALSE,0.008,2741,bot
TRUE,FALSE,38493,7383658,3016,TRUE,253755500,es,unknown,21947,TRUE,6.325,3470,human
